book_names,book_urls,author_name,avg_rating,no_of_ratings,img_src,image_name
The Secret History,https://www.goodreads.com/book/show/29044.The_Secret_History,Donna Tartt,4.17,725768,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451554846i/29044._SY75_.jpg,cover_269.png
"To All the Boys I've Loved Before (To All the Boys I've Loved Before, #1)",https://www.goodreads.com/book/show/15749186-to-all-the-boys-i-ve-loved-before,Jenny Han,4.04,886334,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1372086100i/15749186._SY75_.jpg,cover_270.png
"A Dance with Dragons (A Song of Ice and Fire, #5)",https://www.goodreads.com/book/show/10664113-a-dance-with-dragons,George R.R. Martin,4.34,649156,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581625286i/10664113._SX50_.jpg,cover_271.png
"The Magician's Nephew (Chronicles of Narnia, #6)",https://www.goodreads.com/book/show/65605.The_Magician_s_Nephew,C.S. Lewis,4.05,537356,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1308814770i/65605._SY75_.jpg,cover_272.png
"Everything, Everything",https://www.goodreads.com/book/show/18692431-everything-everything,Nicola Yoon,3.98,616249,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1450515891i/18692431._SY75_.jpg,cover_273.png
"Angela's Ashes (Frank McCourt, #1)",https://www.goodreads.com/book/show/252577.Angela_s_Ashes,Frank McCourt,4.14,627139,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348317139i/252577._SY75_.jpg,cover_274.png
The Last Thing He Told Me,https://www.goodreads.com/book/show/54981009-the-last-thing-he-told-me,Laura Dave,3.84,925557,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1603034599i/54981009._SY75_.jpg,cover_275.png
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",https://www.goodreads.com/book/show/1215032.The_Wise_Man_s_Fear,Patrick Rothfuss,4.55,552043,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1452624392i/1215032._SY75_.jpg,cover_276.png
"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",https://www.goodreads.com/book/show/40916679-a-good-girl-s-guide-to-murder,Holly Jackson,4.33,994567,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545494980i/40916679._SY75_.jpg,cover_277.png
They Both Die at the End,https://www.goodreads.com/book/show/33385229-they-both-die-at-the-end,Adam Silvera,3.77,730024,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1494333138i/33385229._SY75_.jpg,cover_278.png
The Graveyard Book,https://www.goodreads.com/book/show/2213661.The_Graveyard_Book,Neil Gaiman,4.16,535765,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531295292i/2213661._SY75_.jpg,cover_279.png
Happy Place,https://www.goodreads.com/book/show/61718053-happy-place,Emily Henry,4.03,728161,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1660145160i/61718053._SY75_.jpg,cover_280.png
"Uglies (Uglies, #1)",https://www.goodreads.com/book/show/24770.Uglies,Scott Westerfeld,3.85,660784,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654202671i/24770._SX50_.jpg,cover_281.png
Digital Fortress,https://www.goodreads.com/book/show/11125.Digital_Fortress,Dan Brown,3.69,634565,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360095966i/11125._SY75_.jpg,cover_282.png
"Heartstopper: Volume One (Heartstopper, #1)",https://www.goodreads.com/book/show/40495957-heartstopper,Alice Oseman,4.47,704545,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541887843i/40495957._SY75_.jpg,cover_283.png
